WildRose_1 {Ficou sabendo? Uns vinte escravos fugiram da plantação do Bishop há poucos dias. Dizem que serraram as correntes à noite, mataram alguns guardas e sumiram na selva. Mas para onde iriam nessa ilha? Claro, logo foram pegos — alguns acharam numa caverna, outros perto de Ragged Point. A maioria foi morta a tiros. Mesmo assim, os soldados também tiveram baixas. Mas dizem que o que mais irritou o Bishop não foi isso — foi não ter conseguido lidar pessoalmente com os fugitivos.}
WildRose_2 {Bruce}
WildRose_3 {Primer}
WildRose_4 {Jerry}
WildRose_5 {Kasper}
WildRose_6 {Lewis}
WildRose_7 {Gernon}
WildRose_8 {Jerome}
WildRose_9 {Sauvernier}
WildRose_10 {Rupert}
WildRose_11 {Kasper}
WildRose_12 {Herege}
WildRose_13 {A equipe já deve estar em posição...}
