info
{
附加组件SLiB的通用英雄创建器    脚本由ALexusB创建 09.10.04    文件路径 \RESOURCE\INI\TEXTS\RUSSIAN\HeroDescribe.txt        版本 02.07.06    hero_qty - 英雄数量    ps_hero_qty - 伪英雄数量 (在游戏中可能作为任务角色出现, 在P&P中仅选择男性角色)    heroName_Х        - 英雄名字    heroLastname_Х    - 英雄姓氏    heroNameGen_ и heroLastnameGen_ - 属格形式,    heroLastnameDat_  - 与格形式。     heroFace_Х        - 肖像编号    heroModel_Х       - 用逗号分隔的模型列表 (无空格), 可能少于完整列表, 此时将采用第一个            (无装甲。 轻型。 中型。 酷炫。 金色。 服装_1. 服装_2. 服装_3)    heroType_Х        - 英雄类型 (影响初始属性)        取值仅限:Corsair, Merchant, Adventurer或 (俄语版本)海盗,商人,冒险家    heroNation_Х      - 英雄起始国家 (中立关系)        取值仅限:ENGLAND, FRANCE, SPAIN, HOLLAND            或 (俄语版本)英国            法国            西班牙            荷兰    sex_X             - 性别 (man, woman, skeleton)    animation_X       - 动画 (man, woman, towngirl)    hero_Х            - 英雄简短传记 (不超过5-7行, 以便放入文本字段)    Х - 列表中英雄的序号        资源位置:    肖像纹理 \RESOURCE\Textures\INTERFACES\PORTRAITS  (64, 128, 256)    皮肤纹理          \RESOURCE\Textures\Characters    模型             \RESOURCE\MODELS\Characters    头部模型          \RESOURCE\MODELS\Heads    头部动画          \RESOURCE\animation\Heads 和 \RESOURCE\animation\Heads\AN        请务必在编辑前保存原始文件, 否则可能无法安装更新。     安装前请将其放回原位, 安装更新后, 请重新设置您的英雄 (们).         _______________               谨此致意, ALexusB
}
Merchant {对于那些敢于在加勒比群岛水域从 事贸易的人来说, 这里充斥着私掠者、 海盗和各类劫匪, 他们不仅需要跟踪各岛价格以获取 最大利润, 还必须学会紧握匕首, 才能保住这些财富。}
Corsair {海盗是强盗还是浪漫主义者? 这取决于您如何塑造主角。 但有些品质是成为海盗不可或缺的 :无畏、 坚韧和快速决策的能力。 勇敢前行吧。}
Adventurer {冒险- 这才是自由冒险家的真正生活。 如果在追寻冒险的同时还能获得可 观的收益, 那为何不充分利用呢?}
hero_qty {5}
ps_hero_qty {20}
heroName_1 {Charles}
heroNameGen_1 {Charles}
heroNameDat_1 {Charles}
heroLastname_1 {de Maure}
heroLastnameGen_1 {de Maure}
heroLastNameDat_1 {de Maure}
heroFace_1 {201}
heroModel_1 {Sharle_1,Sharle_2,Sharle_3,Sharle_4,Sharle_5,protocusto,Sharle_6,Sharle_8,Sharle_7,Sharle_9,Sharle_1,Sharle_11,Sharle_12,Sharle_13,Sharle_14}
heroType_1 {Корсар}
heroNation_1 {France}
sex_1 {man}
animation_1 {man}
hero_1 {作为法国贵族之子, 一位无忧无虑的艺术家和声名狼藉 的魅力男子, 他抵达加勒比海寻找失踪的兄弟。 但这趟旅程不仅是寻亲之旅, 更将塑造他的人生。 在这里, 他将面对欺骗与危险, 追寻知识与爱情, 最终直面命运道路上的重重阻碍。}
heroName_2 {Diego}
heroLastname_2 {de Montoya}
heroNameGen_2 {Diego}
heroLastnameGen_2 {de Montoya}
heroNameDat_2 {Diego}
heroLastNameDat_2 {de Montoya}
heroFace_2 {203}
heroModel_2 {Diego_1,Diego_2,Diego_3,Diego_4,Diego_5,protocusto,Diego_6,Diego_8,Diego_1,Diego_9,Diego_1,Diego_11,Diego_12,Diego_13,Diego_14}
heroType_2 {Авантюрист}
heroNation_2 {Spain}
sex_2 {man}
animation_2 {man}
hero_2 {这位来自遥远阿拉贡的雇佣兵, 因过度自信而陷入险境, 在马德里的夜街上侥幸逃生。 在新世界, 他获得了第二次机会, 有望赢得男爵头衔, 最终掌控自己的人生。}
heroName_3 {William}
heroLastname_3 {Paterson}
heroNameGen_3 {William}
heroLastnameGen_3 {Paterson}
heroNameDat_3 {William}
heroLastNameDat_3 {Paterson}
heroFace_3 {202}
heroModel_3 {Willy_1,Willy_2,Willy_3,Willy_4,Willy_5,protocusto,Willy_6,Willy_8,Willy_1,Willy_9,Willy_1,Willy_11,Willy_12,Willy_13,Willy_14}
heroType_3 {Торговец}
heroNation_3 {England}
sex_3 {man}
animation_3 {man}
