
Antigua			{安提瓜}
Barbados		{巴巴多斯}
Bermudes		{宝藏岛}
Beliz			{尤卡坦}
Cuba   			{古巴}
Cuba1   		{古巴}
Cuba2   		{古巴}
Caiman 			{开曼}
Cumana 			{大陆}
Caracas 		{大陆}
Curacao			{库拉索}
Cartahena 		{大陆}
Dominica		{多米尼加}
Guadeloupe		{瓜德罗普}
Hispaniola 		{伊斯帕尼奥拉}
Hispaniola1		{伊斯帕尼奥拉}
Hispaniola2 	{伊斯帕尼奥拉}
Jamaica			{牙买加}
Maracaibo 		{大陆}
Martinique		{马提尼克}
SentMartin		{圣马丁}
Nevis			{圣克里斯托弗}
PuertoRico		{波多黎各}
PortoBello 		{大陆}
Pearl 			{珍珠滩}
Panama 			{巴拿马}
SantaCatalina 	{大陆}
Terks			{特克斯}
Tortuga			{托尔图加}
Trinidad		{特立尼达}
Tenotchitlan 	{佩滕湖}
Mein 			{大陆}
KhaelRoa 		{凯尔罗阿}
Ksochitam 		{克索奇特姆}
RockIsland 		{北部礁群}
Providence 		{普罗维登斯}
SantaQuiteria 	{圣基特里亚}
IslaDeVieques 	{别克斯岛}
IslaMona 		{莫纳岛}
IslaDeCoche 	{科切岛}
Tobago 			{多巴哥}
MarieGalante 	{玛丽加朗特}

SentJons_town 	{圣约翰}
Pirates_town	{夏普敦}
Bridge_town		{布里奇敦}
Beliz_town		{伯利兹}
Santiago_town	{圣地亚哥}
PuertoPrincipe_town	{王子港}
Havana_town		{哈瓦那}
Cumana_town		{库马纳}
Caracas_town	{加拉加斯}
Villemstad_town	{威廉斯塔德}
Cartahena_town	{卡塔赫纳}
BasTer_town		{巴斯特尔}
SantoDomingo_town	{圣多明各}
LaVega_town		{拉维加}
PortPax_town	{太子港}
PortRoyal_town	{皇家港}
Maracaibo_town	{马拉开波}
FortFrance_town	{圣皮埃尔}
LeFransua_town	{勒弗朗索瓦}
Marigo_town		{菲利普斯堡}
Charles_town	{卡普斯特维尔}
SanJuan_town	{圣胡安}
PortoBello_town	{贝洛港}
Panama_town		{巴拿马}
SantaCatalina_town	{布鲁维尔德}
Tortuga_town	{托尔图加}
PortSpein_town	{圣何塞}
Tenotchitlan_town	{塔亚萨尔}
FortOrange_town	{马龙镇}
Providence_town	{圣安德烈斯}
Estate 			{奥格尔索普庄园, 英格兰}
DesMoines 		{得梅因}
LosTeques_town 	{洛斯泰克斯矿场}
ExitMine 		{通往矿场的通道}
Factoria 		{工厂}						   

Shore1	{布恩角}
Shore2	{法尔茅斯峡}
Shore3	{贝努雷斯峡}
Shore4	{哈里森角}
Shore5	{拉格角}
Shore6	{卡托切角}
Shore7	{科苏梅尔湾}
Shore8	{切图马尔峡}
Shore9	{阿马蒂克峡}
Shore10	{卡拉塔斯卡泻湖}
Shore11	{卡马圭角}
Shore12	{安娜玛丽亚湾}
Shore13	{巴塔巴诺湾}
Shore14	{胡文图德峡}
Shore15	{圣安东尼奥角}
Shore16	{荒漠海岸}
Shore17	{埃斯梅拉达湾}
Shore18	{蛇口海岸}
Shore19	{卡鲁帕诺峡}
Shore20	{洛斯泰克斯海滩}
Shore21	{阿鲁巴角}
Shore22	{范哈托海岸}
Shore23	{圣玛丽亚角}
Shore24	{布兰卡泻湖}
Shore25	{科维尼亚斯峡}
Shore26	{布鲁斯城堡海滩}
Shore27	{斯科特角}
Shore28	{莫尔纳洛峡}
Shore29	{卡普斯特海滩}
Shore30	{格朗堡峡}
Shore31	{不可接近角}
Shore32	{伊莎贝拉角}
Shore33	{萨马纳峡}
Shore34	{戈纳夫湾}
Shore35	{内格里尔角}
Shore36	{波特兰峡}
Shore37	{瓜希拉峡}
Shore38	{拉芒坦湾}
Shore39	{勒马林峡}
Shore40	{格兰德凯斯海滩}
Shore41	{辛普森湾}
Shore42	{桑迪湾}
Shore43	{半月湾}
Shore44	{阿瓜迪亚峡}
Shore45	{法哈多海滩}
Shore46	{奇里基泻湖}
Shore47	{蚊子湾}
Shore48	{达连湾}
Shore49	{帕帕加约湾}
Shore50	{尼科亚湾}
Shore51	{科罗纳多湾}
Shore52	{杜尔塞湾}
Shore53	{蚊子海岸}
Shore54	{佩拉斯角}
Shore55	{圣胡安德诺特湾}
Shore56	{北湾}
Shore57	{南湾}
Shore58	{鱼眼海滩}
Shore59	{斯卡伯勒峡}
Shore60	{加莱拉角}
Shore61	{特佩亚卡克}
Shore62	{伊斯塔帕拉帕}
Shore63	{圣米格尔湾}
Shore64 {礁峡}
Shore65 {岩石湾}
Shore66 {鲨鱼海滩}
Shore66_1 {诅咒湾}
Shore67 {骷髅礁}
Shore67_1 {骷髅礁 - 西部}
