Ship_got_good {%1 公担的%2 已装载上船}
Ship_cant_got_good {没有空间装载%1}
seg_Balls {实心弹}
seg_Grapes {葡萄弹}
seg_Knippels {链弹}
seg_Bombs {炸弹}
seg_Sailcloth {帆布}
seg_Planks {木板}
seg_Slaves {奴隶}
seg_Wheat {小麦}
seg_Ebony {乌木}
seg_Chocolate {可可}
seg_Sugar { }
seg_Wine {葡萄酒}
seg_ShipSilk {船用丝绸}
seg_Rum {朗姆酒}
seg_Tobacco {烟草}
seg_Coffee {咖啡}
seg_Mahogany {桃花心木}
seg_Cinnamon {香草}
seg_Copra {椰干}
seg_Paprika {红辣椒}
seg_Fruits {水果}
seg_Ale {麦芽酒}
seg_Ropes {绳索}
seg_Clothes {衣物}
seg_Cotton {棉花}
seg_Sandal {铁木}
seg_Leather {皮革}
seg_Oil {焦油}
seg_Food {食物}
seg_Weapon {武器}
seg_Gold {黄金}
seg_Silver {白银}
seg_Powder {火药}
seg_Brick {砖块}
seg_Medicament {药品}
