
sea_Cancel {取消}
sea_Moor {停泊}
sea_Cabin {船舱}
sea_SailTo {驶向}
sea_Board {登船}
sea_LandTroops {登陆部队}
sea_Map {地图}
sea_Attack {攻击}
sea_Abordage {钩接}
sea_Defend {防御}
sea_SailAway {驶离}
sea_HeaveToDrift {降下船帆}
sea_Reload {交易}
sea_Charge {装填}
sea_Speed {船帆}
sea_CCommand {命令}
sea_Ability {技能}
sea_ImmediateDeath {摧毁!}
sea_InstantBoarding {立即登船}
sea_Speak {交谈}
sea_Sneak {潜入城镇}
sea_Repair {修理}
sea_SailDir {驶向..}
sea_SailNW {西北}
sea_SailN {北}
sea_SailNE {东北}
sea_SailE {东}
sea_SailSE {东南}
sea_SailS {南}
sea_SailSW {西南}
sea_SailW {西}
sea_Boat {派遣小船}
sea_Bomb {发射水雷}

sea_Brander {品牌商}
sea_ImmediateReload {快速装填}
sea_LightRepair {紧急修理}
sea_InstantRepair {战斗修理}
sea_SandbankManeuver {浅滩机动}
sea_Turn180 {掉头}

land_TalkSelf {自言自语}
land_ItemsDead {掠夺}
land_FastReload {前往}
land_ItemsUse {使用}
land_DialogStart {对话}
land_ItemsChange {交换}
land_TakeItem {拾取}
land_PlaceItem {放置}
land_OutDoor {打开}
land_UseBox {开启}
land_ActivateRush {使用奥梅托奇利酊剂}
land_ActivateCabine {船长室}
land_DeActivateCabine {登陆}
land_Look {查看}
land_Exit {出海}
land_SelfRepair {自我修理}
land_Alchemy {手工制作}
land_MapAtlas {地图集}
land_Rest {休息}

go_store {商店}
go_shipyard {造船厂}
go_tavern {酒馆}
go_residence {官邸}
go_port {港口}
go_loanshark {银行家}
go_church {教堂}
go_prison {监狱}
go_brothel {妓院}
go_usurer {高利贷者}
go_portman {港务长}
go_duel {决斗}
go_exittown {城镇大门}

go_Caroline {护卫舰"Carolina(卡罗莱纳号)"}
go_CeresSmithy_Mary {Mary Casper}
go_CeresSmithy_Jurgen {Jurgen Schmidt}
go_EsmeraldaStoreBig {大帆船"Esmeralda(埃斯梅拉达号)"}
go_EsmeraldaStoreBig_Donald {Donald Greenspen}
go_FenixPlatform {平台"Fenix(凤凰号)"}
go_FleuronTavern {卡拉维尔帆船"Fleron(弗莱龙号)"}
go_GloriaChurch {大帆船"Gloria(荣耀号)"}
go_ProtectorFisher {Eduard Black}
go_SanAugustineResidence {Steven Dodson}
go_SanGabrielMechanic {Henrick Vedecker}
go_TartarusPrison {战列舰"Tartarus(塔耳塔罗斯号)"}

worldmap_toisland {到海岛}
worldmap_tosea {到海上}
worldmap_toship {攻击}
worldmap_tostorm {风暴}
worldmap_toattack {加入战斗}
worldmap_toenemy {战斗}
