portman {港口主管}
drinker_0 {这片海域最著名的海盗}
drinker_1 {真实故事的杰出讲述者}
drinker_2 {退役埃斯科里亚尔特工}
drinker_3 {博学健谈}
drinker_4 {精通各类事务的专家}
drinker_5 {乐观无畏, 坦荡真诚}
drinker_6 {风华正茂的杰出男子}
drinker_7 {杂物头目}
drinker_8 {醉汉岗哨头目}
drinker_9 {DWIC里一位不算小人物的远房亲戚}
pofficer {候选人}
hovernor {总督}
tavernkeeper {旅店老板}
waitress {女服务员}
trader {贸易者}
shipyarder {造船匠}
priest {牧师}
Ghovernor {总督}
Phovernor {男爵}
usurer {放贷人}
poorman {乞丐}
gipsy {吉普赛女}
captain {船长}
sailor {水手}
marginal_town {海盗}
noble {贵族}
monk {修士}
chaplain {牧师}
potion_merchant {炼金术士}
veteran_merchant {铁匠}
armourer_merchant {枪匠}
monk_merchant {圣物商人}
indian_merchant {占卜师}
lightman_merchant {灯塔看守}
cemeteryman_merchant {守墓人}
legend {传奇}
soldier_town {守卫}
banditos {割喉者}
patrol {巡逻队}
comandante {指挥官}
prisonboss {司令官}
whore {女仆}
hostess {女主人}
enemy {敌人}
wife {妻子}
kukulkan {Kukulkan}
mercen {雇佣兵}
monster {不死者}
captain_trader {自由商人}
mtraxx_vanguard {提拉克斯先锋}
fgirl {情妇}
deadman {活死人}
friend {朋友}
duelist {决斗者}
smuggler {走私者}
AffairOfHonor_tavern {绝望的醉汉}
hovernon_wife {总督的妻子}
HeadSailor {Старший матрос}
HeadSailorPlus {Голос команды}
Director {主管}
Deputy Director {副主管}
Naval Registry Guard {登记处卫兵}
