info
{
Универсальный создатель героев адд-она SLiB    Скрипт создан ALexusB 09.10.04    Путь к файлу \RESOURCE\INI\TEXTS\RUSSIAN\HeroDescribe.txt        версия 02.07.06    hero_qty - количество героев    ps_hero_qty - количество псевдо-героев (могут встретиться как квестовые персонажи в игре, в ПГГ берутся строго персонажы мужского пола)    heroName_Х        - имя героя    heroLastname_Х    - фамилия героя    heroNameGen_ и heroLastnameGen_ - родительный падеж,   heroLastnameDat_  - дательный падеж.    heroFace_Х        - номер портрета    heroModel_Х       - список моделей через зяпятую без пробелов, может быть меньше, чем полный список, тогда первая возмется            (без брони, лёгкая, средняя, крутая, золотая, одежда_1, одежда_2, одежда_3)    heroType_Х        - тип героя (влияет на стартовые параметры)        значения только: Corsair, Merchant, Adventurerили (для русской версии)Корсар,Торговец,Авантюрист    heroNation_Х      - стартовая нация героя (нейтральные отношения)        значения только: ENGLAND, FRANCE, SPAIN, HOLLAND            или (для русской версии)Англия            Франция            Испания            Голландия    sex_X             - пол (man, woman, skeleton)    animation_X       - анимация (man, woman, towngirl)    hero_Х            - краткая биография героя (не более 5-7 строк, что бы помещалось в поле текста)    Х - порядковый номер героя в списке        Где что:    Текстуры портретов \RESOURCE\Textures\INTERFACES\PORTRAITS  (64, 128, 256)    Скины              \RESOURCE\Textures\Characters    Модели             \RESOURCE\MODELS\Characters    Головы             \RESOURCE\MODELS\Heads    Анимация головы    \RESOURCE\animation\Heads и \RESOURCE\animation\Heads\AN        Обязательно сохраните исходный файл до редактирования. Иначе обновления могут не установится.    Перед установкой верните его на место, установите обновление. После чего повторите настройку своего героя (героев).        _______________               С заботой о Вас, ALexusB
}
Merchant {Aki kereskedni merészel a Karib-tengeri szigetvilág vizeiben, amelyek hemzsegnek a mindenféle kalózoktól, kalózoktól és banditáktól, annak nem csak a szigetek árait kell figyelnie a profit maximalizálása érdekében, hanem meg kell tanulnia keményen fogni a pengét, hogy megtarthassa ezt a profitot.}
Corsair {Korsár - rabló vagy romantikus? Attól függ, hogy mivé teszed a GG-t. De vannak olyan tulajdonságok, amelyek nélkül lehetetlen korzózóvá válni, ez - a rettenthetetlenség, a kitartás és a gyors döntéshozatal. Hajrá!}
Adventurer {Kalandok - ez a szabad kalandor igazi élete. És ha a hajszolásuk során jó osztalékot kaphatsz, miért ne használnád ki teljes mértékben?}
hero_qty {5}
ps_hero_qty {20}
heroName_1 {Charles}
heroNameGen_1 {Charles}
heroNameDat_1 {Charles}
heroLastname_1 {de Maure}
heroLastnameGen_1 {de Maure}
heroLastNameDat_1 {de Maure}
heroFace_1 {201}
heroModel_1 {Sharle_1,Sharle_2,Sharle_3,Sharle_4,Sharle_5,protocusto,Sharle_6,Sharle_8,Sharle_7,Sharle_9,Sharle_1,Sharle_11,Sharle_12,Sharle_13,Sharle_14}
heroType_1 {Corsair}
heroNation_1 {Franciaország}
sex_1 {férfi}
animation_1 {férfi}
hero_1 {Egy francia nemes fia, gondtalan mûvész és hírhedt sármôr, aki a Karib-tengerre érkezik, hogy eltûnt bátyját keresse. Ám ez az utazás több mint családkeresés, ez az utazás formálja ôt. Itt szembe kell néznie a megtévesztéssel és a veszéllyel, a tudás és a szerelem után kell kutatnia, és végül szembe kell néznie az akadályokkal, amelyek közte és a sorsa között állnak.}
heroName_2 {Diego}
heroLastname_2 {de Montoya}
heroNameGen_2 {Diego}
heroLastnameGen_2 {de Montoya}
heroNameDat_2 {Diego}
heroLastNameDat_2 {de Montoya}
heroFace_2 {203}
heroModel_2 {Diego_1,Diego_2,Diego_3,Diego_4,Diego_5,protocusto,Diego_6,Diego_8,Diego_1,Diego_9,Diego_1,Diego_11,Diego_12,Diego_13,Diego_14}
heroType_2 {Kalandor}
heroNation_2 {Spanyolország}
sex_2 {férfi}
animation_2 {férfi}
hero_2 {A távoli Aragóniából származó zsoldos a saját túlzott önbizalmának áldozatául esett, és csak hajszál híján menekült meg a haláltól Madrid éjszakai utcáin. Az Újvilágban kap egy második esélyt, hogy bárói címet szerezzen, és végre kezébe vegye az irányítást az élete felett.}
heroName_3 {William}
heroLastname_3 {Paterson}
heroNameGen_3 {William}
heroLastnameGen_3 {Paterson}
heroNameDat_3 {William}
heroLastNameDat_3 {Paterson}
heroFace_3 {202}
heroModel_3 {Willy_1,Willy_2,Willy_3,Willy_4,Willy_5,protocusto,Willy_6,Willy_8,Willy_1,Willy_9,Willy_1,Willy_11,Willy_12,Willy_13,Willy_14}
heroType_3 {Kereskedô}
heroNation_3 {Anglia}
sex_3 {férfi}
animation_3 {férfi}
