Ship_got_good {%1 centners of %2 fôt felvesznek a fedélzetre}
Ship_cant_got_good {Nincs hely %1 számára}
seg_Balls {körlövés}
seg_Grapes {grapeshot}
seg_Knippels {lánclövés}
seg_Bombs {bombák}
seg_Sailcloth {vitorlavászon}
seg_Planks {deszkák}
seg_Slaves {rabszolgák}
seg_Wheat {búza}
seg_Ebony {ébenfa}
seg_Chocolate {kakaó}
seg_Sugar { }
seg_Wine {bor}
seg_ShipSilk {hajóselyem}
seg_Rum {rum}
seg_Tobacco {dohány}
seg_Coffee {kávé}
seg_Mahogany {mahagóni}
seg_Cinnamon {vanília}
seg_Copra {kopra}
seg_Paprika {paprika}
seg_Fruits {gyümölcs}
seg_Ale {ale}
seg_Ropes {kötelek}
seg_Clothes {ruhák}
seg_Cotton {pamut}
seg_Sandal {vasfa}
seg_Leather {bôr}
seg_Oil {kátrány}
seg_Food {étel}
seg_Weapon {fegyverek}
seg_Gold {arany}
seg_Silver {ezüst}
seg_Powder {puskapor}
seg_Brick {tégla}
seg_Medicament {gyógyszer}
