sea_Cancel {キャンセル}
sea_Moor {停泊}
sea_Cabin {船室}
sea_SailTo {航行}
sea_Board {白兵戦}
sea_LandTroops {上陸部隊}
sea_Map {地図}
sea_Attack {攻撃}
sea_Abordage {拿捕}
sea_Defend {防御}
sea_SailAway {出航}
sea_HeaveToDrift {帆を降ろせ}
sea_Reload {取引}
sea_Charge {リロード}
sea_Speed {帆}
sea_CCommand {命令}
sea_Ability {アビリティ}
sea_ImmediateDeath {破壊せよ！}
sea_InstantBoarding {即時白兵戦}
sea_Speak {会話}
sea_Sneak {町に忍び込む}
sea_Repair {修理}
sea_SailDir {..へ航海}
sea_SailNW {北西}
sea_SailN {北}
sea_SailNE {北東}
sea_SailE {東}
sea_SailSE {南東}
sea_SailS {南}
sea_SailSW {南西}
sea_SailW {西}
sea_Boat {ボートを出す}
sea_Bomb {機雷を発射}
sea_Brander {火船}
sea_ImmediateReload {リロード}
sea_LightRepair {緊急修理}
sea_InstantRepair {戦闘修理}
sea_SandbankManeuver {浅瀬での機動}
sea_Turn180 {反転}
land_TalkSelf {独り言}
land_ItemsDead {略奪}
land_FastReload {移動}
land_ItemsUse {使用}
land_DialogStart {会話}
land_ItemsChange {交換}
land_TakeItem {取る}
land_PlaceItem {置く}
land_OutDoor {開く}
land_UseBox {開く}
land_ActivateRush {オメトチトリのチンキを使う}
land_ActivateCabine {船長のキャビン}
land_DeActivateCabine {陸}
land_Look {見る}
land_Exit {海}
land_SelfRepair {修理}
land_Alchemy {クラフト}
land_MapAtlas {地図}
land_Rest {休憩}
go_store {ストア}
go_shipyard {造船所}
go_tavern {酒場}
go_residence {邸宅}
go_port {港}
go_loanshark {銀行家}
go_church {教会}
go_prison {牢獄}
go_brothel {売春宿}
go_usurer {高利貸し}
go_portman {港湾管理}
go_duel {決闘}
go_exittown {城門}
go_Caroline {フリゲート「Carolina」}
go_CeresSmithy_Mary {Mary Casper}
go_CeresSmithy_Jurgen {Jurgen Schmidt}
go_EsmeraldaStoreBig {ガレオン「エスメラルダ」}
go_EsmeraldaStoreBig_Donald {Donald Greenspen}
go_FenixPlatform {プラットフォーム「Fenix」}
go_FleuronTavern {キャラベル「Fleron」}
go_GloriaChurch {ガレオン「Gloria」}
go_ProtectorFisher {Eduard Black}
go_SanAugustineResidence {Steven Dodson}
go_SanGabrielMechanic {Henrick Vedecker}
go_TartarusPrison {戦艦「Tartarus」}
worldmap_toisland {出航}
worldmap_tosea {出航}
worldmap_toship {攻撃}
worldmap_tostorm {嵐}
worldmap_toattack {戦闘に参加}
worldmap_toenemy {戦闘}
