portman {港長}
drinker_0 {この海域で最も名高い海賊}
drinker_1 {真実の物語を語る名手}
drinker_2 {エスコリアル特務員（退役）}
drinker_3 {非常に博識な話し相手}
drinker_4 {何でもこなす熟練者}
drinker_5 {陽気で恐れ知らず、誠実な者}
drinker_6 {壮麗なる男盛り}
drinker_7 {雑用係の頭}
drinker_8 {酔いどれ見張りの長}
drinker_9 {DWICのそれなりに偉い人物の又従兄弟}
pofficer {候補者}
hovernor {総督}
tavernkeeper {宿屋主人}
waitress {ウェイトレス}
trader {商人}
shipyarder {造船職人}
priest {司祭}
Ghovernor {総督}
Phovernor {男爵}
usurer {高利貸し}
poorman {乞食}
gipsy {ジプシー女}
captain {船長}
sailor {水夫}
marginal_town {海賊}
noble {貴族}
monk {修道士}
chaplain {チャプレン}
potion_merchant {錬金術師}
veteran_merchant {鉄製品商}
armourer_merchant {銃工}
monk_merchant {聖遺物商人}
indian_merchant {占い師}
lightman_merchant {灯台守}
cemeteryman_merchant {墓守}
legend {伝説}
soldier_town {衛兵}
banditos {殺し屋}
patrol {巡回}
comandante {司令官}
prisonboss {司令官}
whore {女給}
hostess {女主人}
enemy {敵}
wife {妻}
kukulkan {Kukulkan}
mercen {傭兵}
monster {アンデッド}
captain_trader {自由商人}
mtraxx_vanguard {ティラックスの先鋒}
fgirl {愛人}
deadman {生ける死者}
friend {友人}
duelist {剣豪}
smuggler {密輸業者}
AffairOfHonor_tavern {絶望的な酔っ払い}
hovernon_wife {総督の妻}
HeadSailor {上級水夫}
HeadSailorPlus {クルーの声}
Director {ディレクター}
Deputy Director {副所長}
Naval Registry Guard {登記所警備}
