QuestsUtilite_1 {Koło Fortuny}
QuestsUtilite_2 {Nie chcę ciągle omawiać tego samego... już mnie to nudzi.}
QuestsUtilite_3 {Już rozmawialiśmy na ten temat.}
QuestsUtilite_4 {Już o tym rozmawialiśmy.}
QuestsUtilite_5 {Powtarzam, nie chcę ciągle omawiać tego samego tematu.}
QuestsUtilite_6 {Powiedziałem, że nie ma już o czym rozmawiać!}
QuestsUtilite_7 {Mówię ci, że już to omawialiśmy. Czyżby problemy z pamięcią?}
QuestsUtilite_8 {Nie chcę już z tobą rozmawiać.}
QuestsUtilite_9 {Nigdy więcej się do ciebie nie odezwę!}
QuestsUtilite_10 {Teraz jestem wściekły jak diabli!}
QuestsUtilite_11 { }
QuestsUtilite_12 { }
QuestsUtilite_13 {, spływaj.}
QuestsUtilite_14 {Dobra, koleżko.}
QuestsUtilite_15 {Niech ci będzie.}
QuestsUtilite_16 {Aj, przepraszam.}
QuestsUtilite_17 { }
QuestsUtilite_18 { }
QuestsUtilite_19 {, mój błąd...}
QuestsUtilite_20 {Dobrze, dobrze. Tylko spokojnie.}
QuestsUtilite_21 {Niech ci będzie, już nie wrzeszcz na mnie...}
QuestsUtilite_22 {Przepraszam, łeb mnie dziś boli jak cholera...}
QuestsUtilite_23 {Jak tam wolisz.}
QuestsUtilite_24 {Szkoda...}
QuestsUtilite_25 {Wielka szkoda.}
QuestsUtilite_26 {Lucas}
QuestsUtilite_27 {Rodenburg}
QuestsUtilite_28 {Abigail}
QuestsUtilite_29 {Shneur}
QuestsUtilite_30 {Solomon}
QuestsUtilite_31 {Shneur}
QuestsUtilite_32 {John}
QuestsUtilite_33 {Murdock}
QuestsUtilite_34 {Gino}
QuestsUtilite_35 {Gvineili}
QuestsUtilite_36 {Charlie}
QuestsUtilite_37 {Knippel}
QuestsUtilite_38 {Richard}
QuestsUtilite_39 {Fleetwood}
QuestsUtilite_40 {Jacob}
QuestsUtilite_41 {van Berg}
QuestsUtilite_42 {Longway}
QuestsUtilite_43 { }
QuestsUtilite_44 {Joachim}
QuestsUtilite_45 {Merriman}
QuestsUtilite_46 {Hercule}
QuestsUtilite_47 {Tonzag}
QuestsUtilite_48 {Michel}
QuestsUtilite_49 {de Monper}
QuestsUtilite_50 {Opat}
QuestsUtilite_51 {Benoit}
QuestsUtilite_52 {Fadey}
QuestsUtilite_53 { }
QuestsUtilite_54 {Diego}
QuestsUtilite_55 {de Montoya}
QuestsUtilite_56 {Alonso}
QuestsUtilite_57 {de Maldonado}
QuestsUtilite_58 {William}
QuestsUtilite_59 {Paterson}
QuestsUtilite_60 {Archibald}
QuestsUtilite_61 {Colhaun}
QuestsUtilite_62 {Jan}
QuestsUtilite_63 {Svensson}
QuestsUtilite_64 {Joanna}
QuestsUtilite_65 {Svensson}
QuestsUtilite_66 {Nathaniel}
QuestsUtilite_67 {Hawk}
QuestsUtilite_68 {Danielle}
QuestsUtilite_69 {Hawk}
QuestsUtilite_70 {Eduard}
QuestsUtilite_71 {Doylie}
QuestsUtilite_72 {Lawrence}
QuestsUtilite_73 {Beltrop}
QuestsUtilite_74 {Gladys}
QuestsUtilite_75 {McArthur}
QuestsUtilite_76 {Helen}
QuestsUtilite_77 {McArthur}
QuestsUtilite_78 {Jose}
QuestsUtilite_79 {Dios}
QuestsUtilite_80 {Albert}
QuestsUtilite_81 {Loxley}
QuestsUtilite_82 {Steven}
QuestsUtilite_83 {Dodson}
QuestsUtilite_84 {Chad}
QuestsUtilite_85 {Kapper}
QuestsUtilite_86 {Layton}
QuestsUtilite_87 {Dexter}
QuestsUtilite_88 {Eduard}
QuestsUtilite_89 {Black}
QuestsUtilite_90 {Chimiset}
QuestsUtilite_91 { }
QuestsUtilite_92 {Zicomo}
QuestsUtilite_93 { }
QuestsUtilite_94 {Giuseppe}
QuestsUtilite_95 {Fazio}
QuestsUtilite_96 {Axel}
