WildRose_1 {Вы слыхали? С плантации Бишопа несколько дней назад сбежали два десятка рабов. Говорят, ночью перепилили цепи, убили нескольких стражников и скрылись в джунглях. Ну и куда им было деться с острова? Конечно же довольно быстро прижали - кого в пещере нашли, кого у мыса Реггед-Пойнт. Почти всех перестреляли. Впрочем, и у солдат были потери. Только вот, поговаривают, больше всего Бишопа разозлило не это, а то, что он не смог лично расправиться с беглецами.}
WildRose_2 {Брюс}
WildRose_3 {Праймер}
WildRose_4 {Джерри}
WildRose_5 {Каспер}
WildRose_6 {Льюис}
WildRose_7 {Гэрнон}
WildRose_8 {Жером}
WildRose_9 {Совернье}
WildRose_10 {Руперт}
WildRose_11 {Каспер}
WildRose_12 {Еретик}
WildRose_13 {Отряд должен быть на месте...}
