Tip0 {红玛丽非常爱吃醋。}
Tip1 {海伦极其迷信——就像任何海盗一样。}
Tip10 {留意敌人的原型职业：它们显示在生命值和体力条旁边。}
Tip11 {剑术师的攻击最好别去硬挡——他们很容易破防。招架更稳妥。}
Tip12 {火枪手能造成巨额伤害。优先解决他们。}
Tip13 {快速射击比瞄准射击更弱。这就是速度的代价。}
Tip14 {战斗护身符彼此搭配时尤其强大。请谨慎搭配。}
Tip15 {火器命中时会把敌人击退——利用这一点保持距离。}
Tip16 {手持火枪会大幅降低移动速度。拔出的刀剑也会，但影响较小。}
Tip17 {你向后或侧向移动时会明显比前进更慢，但不会丢失对敌人的视线。}
Tip18 {许多敌人会在战斗中施加中毒。请随身携带解毒剂。}
Tip19 {每种武器都有其独特之处——请根据自己的perk和skill来选择。}
Tip2 {阿隆索不喜欢谈论自己的过去。}
Tip20 {在战斗帆状态下，船只转向最快。}
Tip21 {摇晃、转向和船速都会极大影响炮击精度。}
Tip22 {如果你经常炮击落空，就拉近距离。}
Tip23 {“火炮”和“精准”skills同时影响第三人称射击和瞄准模式。}
Tip24 {正在下沉的船只在撞击时不会造成伤害——不用怕它们。}
Tip25 {链弹精准命中桅杆时，可能直接将其打断。如果风帆已经受损，成功率会更高。}
Tip26 {在人数优势极大时，敌船甚至可能在你试图登船时就直接投降。}
Tip27 {击沉海盗船会降低海盗威胁，让加勒比更加安全。}
Tip28 {没有“Captain” perk的军官只能指挥4级及以下舰船。}
Tip29 {船只特性在不同场合各有用处——请按自己的玩法来选择。}
Tip3 {记住：拔出手枪总比给火枪重新装填更快。}
Tip30 {要塞可以靠轰击城墙摧毁，但命中射击孔会更快。}
Tip31 {逃跑中的船只可能会把货物抛下海。靠过去就能回收这些货物。}
Tip32 {火炮会随着时间磨损。请备一些备用火炮。}
Tip33 {不同弹药的射程不同。实心弹最远，霰弹最近。}
Tip34 {实心弹最通用。打风帆和桅杆用链弹，打船员用霰弹，打船体用炸弹。}
Tip35 {仔细阅读对话——里面可能有独特信息。}
Tip36 {如果殖民地被成功攻陷，你存在港务局的存款和船只都会消失。}
Tip37 {多向城里人和酒鬼打听传闻——他们常常知道不少有趣的事。}
Tip38 {寻宝很赚钱。去酒馆找藏宝图商人。}
Tip39 {法杰·莫斯科维特、洛克斯利和贝努瓦修士可以帮你摆脱悬赏。}
Tip4 {加勒比从不缺怪人。听说这里有个神父，与其说会指引你，不如说更可能把你带偏。}
Tip40 {借助海盗男爵，你可以暂时降低海盗威胁。}
Tip41 {Amulets一旦从角色身上取下就会损毁。请提前规划好搭配。}
Tip42 {Wards可以随意取下和戴上。它们不会损坏，而且永久生效。}
Tip43 {船上要备好富余武器：每个死去的水手都会把自己的那份一并带走。}
Tip44 {离港前请确认朗姆酒、药品和补给足够撑完整段航程。}
Tip45 {老鼠是航海者的灾难。你可以用砒霜或古老魔法除掉它们。}
Tip46 {地下城往往非常复杂。如果迷路了，就贴着右边的墙走。}
Tip47 {物品可以从背包中丢弃。有时候扔掉沉重的垃圾很有用。}
Tip48 {喝下特殊药剂就能重置perks。别怕尝试不同build。}
Tip49 {宝藏、店主和墓地看守，都是不错的制作材料来源。多去找他们。}
Tip5 {近战武器技能会降低攻击的体力消耗。}
Tip50 {船只可以连同船员和军官一起留存在港务局。}
Tip51 {在首府殖民地的造船厂，你可以租用仓库来安全存放货物和舰炮。}
Tip52 {如果殖民地的要塞明显不是你的对手，不妨试着从陆路进攻城市。城市守军明显更弱，但战利品也会更少。}
Tip53 {在公海上，你可能会发现漂流的木桶。里面可能装着贵重物品，也可能只是垃圾——永远都是个惊喜。}
Tip54 {任何攻击都可以招架。只要把这招练熟，你就能赢下任何决斗。}
Tip55 {有时候，海流会给在僻静海湾漫步的人带来意外的礼物。}
Tip56 {紫水晶对醉酒毫无帮助。真的。}
Tip57 {紧急情况下，任何军官都可以被任命为登船突击手。狮子带领的羊群，能战胜绵羊带领的狮群。}
Tip58 {总督和船长们也并非不爱赌博，但别指望他们会和陌生人一起玩。}
Tip59 {在危急情况下，你可以把奴隶编入船员。这样会打击船员士气，但能迅速补充人数。}
Tip6 {超载和醉酒都会给技能带来惩罚。}
Tip60 {如果卫兵撞见你和走私贩交易，有时候干脆花钱摆平更省事。这是务实的做法。}
Tip61 {制作物品会消耗游戏时间。有时与其在酒馆里毫无意义地睡觉，不如拿来做东西更划算。}
Tip62 {在船厂修船会消耗游戏时间。赶时间时请记住这一点。}
Tip63 {紧急情况下，任何军官都可以被任命为登船突击手。狮子带领的羊群，能战胜绵羊带领的狮群。}
Tip64 {群岛的殖民地里藏着十段独特的城市故事。多和街上的市民交谈，也别舍不得给酒馆里的醉鬼买朗姆酒。}
Tip65 {战斗中你可以指挥登船突击手。试着用快捷键向他们下达命令。}
Tip66 {某些perk对主角和军官会产生不同的效果。}
Tip7 {药剂恢复生命值很慢——别指望靠一直格挡苟过去。}
Tip8 {如果你被包围，最好的脱身办法就是侧向冲刺。}
Tip9 {重型武器消耗更多体力，但威力也更大。}
