Node0_title {被迫停泊}
Node0_a_a {在$key($ctx(islandName)Gen)岛附近，骤然恶化的天气险些酿成大祸：巨浪猛烈摇撼船身，竟把船舱里装饮用水的木桶全都从原位掀翻了。等风浪平息下来，你下到舱底查看损失，撬开木桶一看，果然没猜错——里面的水已经发咸，根本不能喝了。$br$red淡水储备骤然见底，海湾刚一映入眼帘，你便毫不犹豫地下令靠岸。$br$red这个地方地图上并无标记，你们只能在丛林里凭感觉摸索前进。阿隆索主动请缨带路，只靠些零星迹象，就很快判断出淡水所在的方向。你不由得再次感叹，这个人的本事真是叫人惊讶不已。$br$red你们很快便到了河边。这里的岸边早已被踩出道路，泥地里留着赤脚的脚印和拖拽过的树枝痕迹，树干上还刻着标记。水手们取水的时候，你总觉得密林深处正有人在盯着你，绿色枝叶间也好几次闪过可疑的动静。$br$red回程时，小路忽然收窄，阿隆索猛地抬手，示意所有人停下。你的疑惑很快就被不安取代——四周枝叶间已经密密麻麻探出了箭镞。你尽量一动不动。$br$red印第安人慢慢从丛林中走出，呈半圆形将你们围住。弓已拉满，只要一个不慎的动作，箭雨就会迎面倾泻而下。}
Node0_a_a_action {我们是带着和平而来的！}
Node0_a_a_success {你慢慢举起空空的双手，只向前迈出刚好能让对方看清你的那一步。你的声音平稳，没有一丝颤抖，并用手势表明：你们只需要水。 $br$red那个脸上涂彩最多、羽毛也最华丽的印第安人向你走了两步，仔细打量你，随后朝身后抛出两个简短的词。弓并没有放下，但箭尖压低了半掌。半环中出现一道缺口，其中一名印第安人用箭尖指向小路。 $br$red你们缓缓退去，始终没有把后背露给对方。直到灌木在身后重新合拢，你才终于意识到，自己刚才离死只差一线。}
Node0_a_a_success_action {众神站在我们这一边}
Node0_a_a_fail {你举起双手，做出示好的动作，可这姿势里似乎有什么地方反倒让印第安人更加警觉。树叶间又有新的身影晃动，半环越收越紧，箭尖也抬得更高了。 $br$red你的一名水手紧张地绊了一下，水桶沉闷地砸在地上，水花四溅，这一下彻底把局势推向了爆发。 $br$red印第安人开始高声叫喊，围着你们威胁地跳跃。不会再有第二次机会了。箭矢的尖啸和枪声的轰鸣淹没了丛林，一场惨烈的厮杀爆发开来。 $br$red你活着逃了出来，但并不是所有水手都有好运回到岸边。至少现在，水确实够所有人用了。}
Node0_a_a_fail_action {真是惨祸}
Node0_a_b_action {滚去见魔鬼吧，异教徒！}
Node0_a_b_success {你决定吓退这些印第安人，于是大声厉喝着向前逼近。几名水手立刻跟着你一起吼叫，你又朝空中放了几记空枪，把压迫感推得更狠。印第安人的眼中先是惊讶，随后一点点转为恐惧。 $br$red船员们见你占了上风，也壮起胆来，开始挥动刀刃，互相磕碰出火星。到最后，对方终于撑不住了，纷纷退散，逃回丛林深处。 $br$red回港的路花了整整两倍的时间，你们走得异常小心，连每一声沙沙响动都不敢放过。}
Node0_a_b_success_action {看来算是躲过去了}
Node0_a_b_fail {你试图吓退这些印第安人，放声怒吼，以声势施压，可半环反而越收越紧。箭尖抬得更高，你决定再加一把劲，朝空中放一枪空响。$br$red这是个可怕的错误。印第安人瞬间扑了上来，箭矢如雨般倾泻而下。一部分船员当场毙命，其余人勉强来得及拔出武器。真正的屠杀开始了。$br$red你活着逃了出来，可船员伤亡惨重。至少现在，水应该够所有人用了。}
