Node0_title {惊喜}
Node0_a_a {今天本该是个大日子，可你却满怀愁绪。从清晨起——没有一句祝贺，连半点暗示都没有。大家只是把这件事忘得一干二净，这个阴沉的念头让你心里发堵。 $br$red生日是神圣的节日，你不禁沉醉地回想起在法国时是如何庆祝的。$br$red父亲总会邀请许多宾客，所有人都尽情欢笑作乐。而现在，看着这间狭小的船舱，你只觉得格外落寞。$br$red你刚准备就寝，却忽然听见了某种动静。甲板的吱呀声，低低的窃窃私语——这一切听起来都让人不安，你立刻拿起武器。难道真有人胆敢发动叛乱？$br$red你决定先发制人，冲门而出，准备拔剑迎敌，却看见的是一脸惊讶的船员们，而领头的正是阿隆索。他们手里捧着包装花哨的盒子和甜点，显然是在上一次停靠时偷偷带上船来的。 $br$red阿隆索高声向你祝贺，并提议玩个小游戏——你得猜出三只盒子里，哪一只装着你的礼物。}
Node0_a_a_action {我选小的蓝色那只！}
Node0_a_a_success {阿隆索意味深长地朝你眨了眨眼，把盒子递给了你。它很沉，里面有什么东西叮当作响，来回滚动。看来你猜对了。$br$red你急忙撕开包装纸，只见里面竟是一大堆真正的宝石——它们像只有_$GetItemName($ctx(ItemA))才能那样闪耀流转，还有一个散发着奇怪气味的小纸包。阿隆索说，那是_$GetItemName($ctx(ItemB))。$br$red你感谢船员们送来的礼物和这个有趣的小游戏，但这还不是全部——你的大副宣布，声东击西的把戏已经成功，现在你得前往甲板，你的军官们已经在那里等着你了。}
Node0_a_a_success_action {真高兴你们还记得！}
Node0_a_b_action {中间那个，系着红色缎带的！}
Node0_a_b_success {阿隆索一本正经地把一个系着鲜红缎带的盒子递给你。它不算太重，但里面 $rand(有什么东西轻轻敲碰着|有什么东西窸窣作响并来回滚动|有什么东西叮当作响，像玻璃碰着玻璃一样)。它闻起来有 $rand(蜡|干草药|树脂) 的气味。$br$red你解开缎带，朝里面看去。里面放着 _$GetItemName($ctx(ItemA))——一件朴素的小东西，却是亲手做成的，而这总是珍贵的。旁边整齐地叠着 _$GetItemName($ctx(ItemB))，而最角落里藏着装有淡绿色液体的小瓶，$rand(被细绳紧紧扎着|每次一动都会叮当作响)。那是 _$GetItemName($ctx(ItemC))。阿隆索微笑着说，这些全都是特意为你挑选的。$br$red你感谢船员们的礼物和这场有趣的小游戏，但这还不是全部——你的老水手长宣布，声东击西的把戏已经成功，现在你该前往甲板了，你的军官们已经在那里等着你。}
Node0_a_b_success_action {那就开始庆祝吧！}
Node0_a_c_action {大的那只，带斑点的！}
Node0_a_c_success {阿隆索把一个带斑点的大盒子拖到你面前，又把它往桌上一放，那神情仿佛是在摆上一件战利品。它分量十足，里面 $rand(有什么沉重的东西闷闷地滚动着|有什么东西刮擦着木板|有什么东西撞击着盒壁)。装成这副模样，想猜错都难。$br$red你一把撕开包装纸，掀开盖子。里面放着 _$GetItemName($ctx(ItemA))——一件显眼又有派头的东西，光看着就让人不由得挺直了腰杆。旁边还躺着 _$GetItemName($ctx(ItemB))：上好的、结实的铁器，握在手里让人心里踏实。阿隆索满意地点点头，仿佛自己第一次就猜中了你的心思。$br$red你感谢船员们的礼物和这场有趣的小游戏，但这还不是全部——你的老水手长宣布，声东击西的把戏已经成功，现在你该前往甲板了，你的军官们已经在那里等着你。}
Node0_a_c_success_action {我还以为大家都忘了！}
Frame {你与自己的军官们一起庆祝生日。}
Dialog_Self_initial_text {这才叫过节……嗝！我到底喝了多少 $rand(葡萄酒|朗姆酒|艾尔啤酒)？一桶还是两桶？还有最后那个古怪的比赛……谁能想到 $rand(我扔马蹄铁居然这么准|阿隆索居然能倒立坚持得最久|三码外把羽毛笔扔进墨水瓶居然这么难|阿隆索居然真能把炮弹扔到那只海鸥那儿去)…}
Dialog_Self_initial_l1 {一定要再来一次！}
Dialog_CommonOfficer_initial_text {$rand($name船长，请接受我的祝贺。愿海风常驻你的帆中，火药永远干燥，船员永远忠于你的号令。|生日快乐，$name船长！愿你即便在最黑的风暴中也能稳掌航向，每一次远航归来都带着胜利、黄金与好名声。|$name船长，今天让我们为你的健康举杯。愿大海为你让路，敌人闻风丧胆，朋友永不负你。|向你道贺，$name船长。能在你麾下效力是种荣耀。愿你长命百岁，掌舵之手稳健如初，运气永远不会偏离航线。|生日快乐，船长！愿你的名字，$name，在酒馆里被人敬重，在港口中被人忌惮，在敌舰甲板上令人背脊发凉。|$name船长，愿你的胜利如夜海繁星般众多，战利品如拍打船舷的浪头一般无穷无尽。|请接受我的祝贺，$name船长。愿你的船行得轻快，军刀不生锈，每一个新的黎明都带来比昨日更丰厚的收获。|节日快乐，船长！为你的健康干杯，$name。愿风暴绕道而行，炮弹尽数落空，幸运像驯鸟一样栖在你的肩头。|$name船长，今天全船都为你而饮。愿你在需要时脚下有坚实土地，在心有所向时眼前有无边大海。|生日快乐，$name船长。愿岁月带给你的不是重负，而是智慧；不是疲惫，而是荣耀；不是白发，而是每一个见识过你本事之人的敬重。)}
Dialog_CommonOfficer_initial_l1 {$rand(谢谢你，$npcName。我很高兴。|多谢你，$npcName。听你这么说，我很受用。|谢谢你。你的好话很有分量，$npcName。|多谢，$npcName。我是真的很高兴。|谢谢你，$npcName。祝词说得真好。|谢谢。我记着你的这份心意，$npcName。|谢谢你的暖心话，$npcName。|谢谢你，$npcName。真是打从心底里高兴。|谢谢。你能在这儿，我很高兴，$npcName。|多谢你，$npcName。能和自己人一起过这一天，真不错。)}
Dialog_Alonso_initial_text {您可算来了，$name，我们大家都等您好一阵了！您忠心的军官们全在甲板上候着。我们从货舱里搬了些朗姆酒上来，厨子马上就把吃的端出来，另外我们还弄来了欧洲葡萄酒！}
Dialog_Alonso_initial_l1 {干得漂亮，阿隆索！老实说，我都快以为你们把我给忘了，结果却是这么一场盛大的庆祝！}
Dialog_Alonso_cheers_text {请收下我们的祝贺吧，船长。等您准备好开始正式环节时，告诉我一声——我会下达必要的命令。}
Dialog_Alonso_cheers_l1 {我去跟大家打个招呼。}
Dialog_Alonso_cheers_l2 {我准备好痛快庆祝了！}
