bigCannonsAvailable {可购买大口径火炮}
BigCannonsAvailable_0 {不出售大口径火炮}
BigCannonsAvailable_1 {有大口径火炮出售}
blade_critChance {近战暴击几率}
blade_critDamage {近战暴击伤害}
caribbeanGoodsCost {殖民地商品价格}
caribbeanGoodsStock {殖民地商品库存}
contrabandTradeStatus_0 {可与走私者交易}
contrabandTradeStatus_1 {无法与走私者交易}
contrabandTradeStatus_2 {与走私者交易受阻}
convenienceGoodsCost {必需品价格}
convenienceGoodsStock {必需品库存}
crewExpMtp {船员经验获取速度}
crewHireCost {水手雇佣费用}
crewHireMoraleMtp {雇佣船员士气}
crewHiringExpMtp {雇佣船员经验}
crewMaintenanceCost {水手维持费用}
crownGoodsCost {皇家商品价格}
crownGoodsStock {皇家商品库存}
debitRate {贷款利率}
depositGoldRate {达布隆存款利率}
depositSilverRate {比索存款利率}
drugConsumption {药品消耗}
enemyHullDamageMtp {对敌舰船体伤害}
europeanGoodsCost {欧洲商品价格}
europeanGoodsStock {欧洲商品库存}
exportPriceMtp {出口价格}
foodConsumption {粮食消耗}
GlobalSpeed {世界地图上的船速}
goldsilverGoodsAvailable_0 {白银和黄金不出售}
goldsilverGoodsAvailable_1 {有白银和黄金出售}
gun_critChance {手枪暴击几率}
gun_critDamage {手枪暴击伤害}
HeadshotDamage {爆头伤害}
importPriceMtp {进口价格}
incomingDamageReduction {伤害防御}
legalContraband_0 {走私照常进行}
legalContraband_1 {走私品视为进口货}
medicamentCost {药品价格}
minFortCannonsMtp {攻打要塞所需摧毁火炮阈值}
moraleMtp {船员士气增长}
musket_critChance {火枪暴击几率}
musket_critDamage {火枪暴击伤害}
nationsReputationMtp {国家声望变化速度}
RangeIncomingDamageReduction {枪击防御}
recruitsMtp {新兵}
repairCost {船厂维修价格}
seaRepairEfficency {海上维修效率}
shipSpeedDynamic {船只加速}
shipyardCannonsStock {船厂火炮库存}
Shot_Damage {枪械伤害}
slavesGoodsAvailable_0 {奴隶不出售}
slavesGoodsAvailable_1 {有奴隶出售}
stealthInceptionBonus {潜入城市的几率}
stolenGoodsMtp {赃物罚金降低}
stormDamageMtp {风暴伤害}
tradeLicenseCost {贸易许可证费用}
uniqueGoodsAvailable_0 {战略物资不出售}
uniqueGoodsAvailable_1 {有战略物资出售}
uniqueGoodsStock {战略物资库存}
SquadronPower {舰队战力}
