AffairOfHonor_tavern {绝望的醉汉}
armourer_merchant {枪匠}
banditos {割喉者}
captain {船长}
captain_trader {自由商人}
cemeteryman_merchant {守墓人}
chaplain {牧师}
comandante {指挥官}
deadman {活死人}
Deputy Director {副主管}
Director {主管}
drinker_0 {这片海域最著名的海盗}
drinker_1 {真实故事的杰出讲述者}
drinker_2 {退役埃斯科里亚尔特工}
drinker_3 {博学健谈}
drinker_4 {精通各类事务的专家}
drinker_5 {乐观无畏, 坦荡真诚}
drinker_6 {风华正茂的杰出男子}
drinker_7 {杂物头目}
drinker_8 {醉汉岗哨头目}
drinker_9 {DWIC里一位不算小人物的远房亲戚}
duelist {决斗者}
enemy {敌人}
fgirl {情妇}
friend {朋友}
Ghovernor {总督}
gipsy {吉普赛女}
HeadSailor {熟练水手}
HeadSailorPlus {船员之声}
hostess {女主人}
hovernon_wife {总督的妻子}
hovernor {总督}
indian_merchant {占卜师}
kukulkan {Kukulkan}
legend {传奇}
lightman_merchant {灯塔看守}
marginal_town {海盗}
mercen {雇佣兵}
monk {修士}
monk_merchant {圣物商人}
monster {不死者}
mtraxx_vanguard {提拉克斯先锋}
Naval Registry Guard {登记处卫兵}
noble {贵族}
patrol {巡逻队}
Phovernor {男爵}
pofficer {候选人}
poorman {乞丐}
portman {港口主管}
potion_merchant {炼金术士}
priest {牧师}
prisonboss {司令官}
sailor {水手}
shipyarder {造船匠}
smuggler {走私者}
soldier_town {守卫}
tavernkeeper {旅店老板}
trader {贸易者}
usurer {放贷人}
veteran_merchant {铁匠}
waitress {女服务员}
whore {女仆}
wife {妻子}
