Abilities {キャラクター}
Alchemy {錬金術}
BattleInterfaceControls {インターフェース操作}
BI_MapEnter {グローバルマップ}
BICommands {アクションメニュー}
BICommandsActivate {コマンドメニューを開く}
BICommandsCancel {コマンドをキャンセル}
BICommandsCancel2 {コマンドをキャンセル（別）}
BICommandsConfirm {コマンドを選択}
BICommandsConfirm2 {コマンドを選択（別）}
BICommandsDown {アクションメニュー - 下へ移動}
BICommandsLeft {アクションメニュー 左へ移動}
BICommandsLeftW {アクションメニュー 左へ移動（別）}
BICommandsRight {アクションメニュー 右へ移動}
BICommandsRightW {アクションメニュー 右へ移動（別）}
BICommandsUp {アクションメニュー 上へ}
BIFastCommand {クイックアクション}
BOAL_ActivateRush {オメトチトリのチンキを使う}
BOAL_DeadSearch {戦利品}
BOAL_UsePotion {回復薬を使う}
BulletChanger {弾薬を切り替え}
CannonsRange {射程範囲を表示}
ChangeShowInterface {UI表示/非表示}
CharacterCamera_Backward {カメラズームアウト}
CharacterCamera_Forward {カメラズームイン}
ChrAction {アクション実行}
ChrAiming {狙いモード（長押し）}
ChrAimingShot {射撃}
ChrAltAttackBase {斬撃／範囲攻撃}
ChrAttackBase {速攻／受け流し}
ChrAttackBreak {強攻撃}
ChrAttackBreakBase {強攻撃}
ChrAttackChoseBase {コンボ制御}
ChrAttackFast {斬撃}
ChrAttackFient {フェイント（別）}
ChrAttackForce {速攻}
ChrAttackRound {範囲攻撃}
ChrAttackRoundBase {範囲攻撃}
ChrBackward {後退}
ChrBackward1 {後退}
ChrBlock {ブロック}
ChrBlockBase {ブロック}
ChrCamCameraRadius {カメラズーム}
ChrCamCameraSwitch {カメラモード}
ChrCamNormalize {カメラ中央}
ChrCamTurnH {キャラクターに追従するカメラの横移動}
ChrCamTurnV {キャラクターに追従するカメラの垂直移動}
ChrFightMode {戦闘モード}
ChrFire {発射}
ChrForward {前進}
ChrForward1 {前進}
ChrForward2 {前進（別）}
ChrParry {パリィ（別タイプ）}
ChrRecoil {後退}
ChrRunStick {歩く／走る}
ChrSprint {ダッシュ}
ChrStrafeLeft {左へ移動}
ChrStrafeRight {右へ移動}
ChrSwitchFightMode {戦闘モード切替}
ChrSwitchWalk {歩く／走る}
ChrTurnH {キャラクター回転}
