Frame_HourPassed {1時間が経過した…}
Frame_HourPassed_2 {2時間が経過した…}
Frame_HourPassed_3 {三時間が経過した…}
Frame_HourPassed_4 {四時間が経過した…}
Frame_HourPassed_5 {5時間が経過した…}
Frame_HourPassed_? {数時間が経過した…}
Frame_BeenWhile {少し時間が経った…}
Frame_MinutePassed {1分が経過しました…}
Frame_MinutePassed_2 {2分が経過しました…}
Frame_MinutePassed_3 {3分が経過しました…}
Frame_MinutePassed_5 {5分が経過しました…}
Frame_MinutePassed_10 {十分が経過した…}
Frame_MinutePassed_20 {二十分が経過した…}
Frame_MinutePassed_? {数分が経過した…}
Frame_NextMorning {翌朝…}
Frame_NextDay {翌日…}
Frame_NextEvening {翌晩…}
Frame_NextNight {次の夜…}
Frame_DayPassed {1日が過ぎた…}
Frame_DayPassed_2 {2日が経過した…}
Frame_DayPassed_3 {三日が過ぎた…}
Frame_DayPassed_4 {四日が過ぎた…}
Frame_DayPassed_5 {五日が過ぎた…}
Frame_DayPassed_6 {六日が過ぎた…}
Frame_WeekPassed {1週間が過ぎた…}
Frame_WeekPassed_2 {2週間が過ぎた…}
Frame_WeekPassed_3 {3週間が過ぎた…}
Frame_MonthPassed {1か月が過ぎた…}
Frame_MonthPassed_2 {2か月が過ぎた…}
Frame_MonthPassed_3 {三か月が過ぎた…}
Frame_YearPassed {一年が過ぎた…}
Frame_YearPassed_2 {2年が経った…}
Frame_YearPassed_3 {三年が過ぎた…}
