Tip0 {レッド・メアリーは嫉妬深い。}
Tip1 {ヘレンはひどく迷信深い――どんな海賊でもそうだが。}
Tip10 {敵のアーキタイプに注意しろ。体力とスタミナの表示のそばに出ている。}
Tip11 {剣士の攻撃は受け止めないほうがいい――ガードを容易く破ってくる。弾くほうが確実だ。}
Tip12 {マスケット兵は凄まじいダメージを与える。真っ先に始末しろ。}
Tip13 {速射は狙い撃ちより威力が低い。速さには代償がある。}
Tip14 {戦闘用のAmuletsは組み合わせることでとりわけ強力になる。よく考えて選べ。}
Tip15 {銃器は命中時に相手をのけぞらせる。距離を取るのに使え。}
Tip16 {マスケットを構えると大きく動きが鈍る。抜き身の刃も同じだが、影響はやや小さい。}
Tip17 {後ろや横への移動は前進よりかなり遅いが、そのぶん敵を見失わずに済む。}
Tip18 {多くの敵は戦闘中に毒を使う。解毒剤は常に持ち歩け。}
Tip19 {武器にはそれぞれ個性がある――自分のperksとskillsに合わせて選べ。}
Tip2 {アロンソは自分の過去を語りたがらない。}
Tip20 {戦闘帆では船の旋回がもっとも速い。}
Tip21 {船の揺れ、旋回、速度は砲撃の精度に大きく影響する。}
Tip22 {砲撃をよく外すなら、距離を詰めろ。}
Tip23 {「大砲」と「命中」のskillsは、三人称射撃と狙い撃ちモードの両方に影響する。}
Tip24 {沈みかけの船は体当たりしてもダメージを与えない――恐れるな。}
Tip25 {チェーンショットをマストに正確に当てれば、へし折れることがある。すでに帆が傷んでいれば、その確率はさらに上がる。}
Tip26 {大きな人数差があれば、敵船は拿捕を仕掛けた時点で降伏することもある。}
Tip27 {海賊船を沈めれば海賊の脅威が下がり、カリブはより安全になる。}
Tip28 {「Captain」のperkを持たない士官は、4等級までの船しか指揮できない。}
Tip29 {船のtraitsは状況ごとに役立つ――自分のプレイスタイルに合わせて選べ。}
Tip3 {覚えておけ。銃を抜くほうが、マスケットを再装填するよりいつだって速い。}
Tip30 {要塞は壁を撃って壊せるが、銃眼に当てればさらに早い。}
Tip31 {逃走中の船は荷を海へ投げ捨てることがある。近づけば回収できる。}
Tip32 {大砲は時とともに摩耗する。予備をいくらか積んでおけ。}
Tip33 {砲弾の種類ごとに射程は異なる。もっとも長いのは実弾、もっとも短いのは葡萄弾だ。}
Tip34 {実弾は万能だ。帆やマストにはチェーンショット、乗組員には葡萄弾、船体には爆弾を使え。}
Tip35 {会話は注意して読め――そこにしかない情報が紛れていることがある。}
Tip36 {植民地が陥落すると、港湾管理に預けた預金と船は失われる。}
Tip37 {町の者や酔っ払いに噂を聞け――案外おもしろいことをたくさん知っている。}
Tip38 {宝探しは割がいい。宝の地図売りは酒場で探せ。}
Tip39 {Fadey Moskovit、Loxley、そしてBenoit修道院長なら賞金首を消してくれることがある。}
Tip4 {カリブには奇妙な連中がいくらでもいる。ここには導くどころか、むしろ道を踏み外させる司祭がいるという。}
Tip40 {海賊男爵の力を借りれば、海賊の脅威をしばらく下げられる。}
Tip41 {Amuletsはキャラクターから外すと壊れる。構成は前もって考えておけ。}
Tip42 {Wardsはいくらでも付け外しできる。壊れず、効果は永続する。}
Tip43 {船には予備の武器を積んでおけ。死んだ水夫は自分の分をあの世へ持っていく。}
Tip44 {出港前に、ラム酒と薬と食料が航海全体に足りるか確かめておけ。}
Tip45 {鼠は船乗りの厄介者だ。砒素か、古の魔法で追い払える。}
Tip46 {地下迷宮はひどく入り組んでいることがある。迷ったら右壁に沿って進め。}
Tip47 {アイテムはインベントリから捨てられる。重いガラクタは手放したほうがいいこともある。}
Tip48 {perksは特別な薬を飲めば振り直せる。buildsを試すのを恐れるな。}
Tip49 {宝、店主、墓地の番人はcrafting素材の良い供給源だ。こまめに訪ねろ。}
Tip5 {近接武器スキルは攻撃のスタミナ消費を減らす。}
Tip50 {船は乗組員と士官ごと港湾管理に預けておける。}
Tip51 {首都植民地の造船所では、品物や艦載砲を安全に保管するための倉庫を借りられる。}
Tip52 {植民地の要塞がどう見ても手に余るなら、陸側から町を攻めてみろ。市街守備隊はかなり弱いが、そのぶん戦利品も少なくなる。}
Tip53 {外洋では流れ漂う樽が見つかることがある。中身は貴重品かもしれないし、ガラクタかもしれない――いつだって開けてみるまでわからない。}
Tip54 {どんな一撃でも受け流せる。この技をきっちり身につければ、どんな決闘でも勝ち抜ける。}
Tip55 {人目につかぬ入り江を歩いていると、海流が思いがけない贈り物を運んでくることがある。}
Tip56 {アメジストは酔いには効かない。マジで。}
Tip57 {緊急時には、どの士官でも白兵要員に任命できる。羊の群れでも獅子に率いられていれば、羊に率いられた獅子の群れに勝つ。}
Tip58 {総督や船長だって博打と無縁じゃない。だが、見知らぬ相手と付き合ってくれると思うな。}
Tip59 {危機的な状況では、奴隷を乗組員に加えることもできる。士気は落ちるが、人数をすばやく埋められる。}
Tip6 {過積載と酔いはスキルにペナルティを与える。}
Tip60 {衛兵に密輸商との取引を見つかったら、さっさと金で片づけたほうが楽なこともある。そういうのも実務的なやり方だ。}
Tip61 {アイテムのcraftingにはゲーム内時間を使う。ただ酒場でぼんやり寝るくらいなら、何か作ったほうが得なこともある。}
Tip62 {造船所で船を修理するとゲーム内時間を使う。急いでいるときは、それを忘れるな。}
Tip63 {緊急時には、どの士官でも白兵要員に任命できる。羊の群れでも獅子に率いられていれば、羊に率いられた獅子の群れに勝つ。}
Tip64 {群島の植民地には、十の固有な町の物語が隠されている。通りの住民とはこまめに話し、酒場の酔っ払いにはラムを惜しむな。}
Tip65 {戦闘中は白兵要員に命令を出せる。ホットキーで指示を飛ばしてみろ。}
Tip66 {一部のperksは、主人公と士官で効果が異なる。}
Tip7 {薬は体力をゆっくり回復させる――ガードだけでしのげると思うな。}
Tip8 {囲まれたら、最良の抜け方は横への素早い踏み込みだ。}
Tip9 {重い武器はスタミナを多く使うが、そのぶん強く叩き込める。}
