go_brothel {売春宿}
go_Caroline {フリゲート「Carolina」}
go_CeresSmithy_Jurgen {Jurgen Schmidt}
go_CeresSmithy_Mary {Mary Casper}
go_church {教会}
go_duel {決闘}
go_EsmeraldaStoreBig {ガレオン「エスメラルダ」}
go_EsmeraldaStoreBig_Donald {Donald Greenspen}
go_exittown {城門}
go_FenixPlatform {プラットフォーム「Fenix」}
go_FleuronTavern {キャラベル「Fleron」}
go_GloriaChurch {ガレオン「Gloria」}
go_graveyard {墓地}
go_hwic_office {HWIC本部}
go_loanshark {銀行家}
go_plantation {プランテーション}
go_port {港}
go_portman {港湾管理}
go_prison {牢獄}
go_ProtectorFisher {Eduard Black}
go_residence {邸宅}
go_SanAugustineResidence {Steven Dodson}
go_SanGabrielMechanic {Henrick Vedecker}
go_shipyard {造船所}
go_storage {倉庫}
go_store {ストア}
go_TartarusPrison {戦艦「Tartarus」}
go_tavern {酒場}
go_usurer {高利貸し}
land_ActivateCabine {船長のキャビン}
land_ActivateRush {オメトチトリのチンキを使う}
land_Alchemy {クラフト}
land_DeActivateCabine {陸}
land_DialogStart {会話}
land_Exit {海}
land_FastReload {移動}
land_ItemsChange {交換}
land_ItemsDead {略奪}
land_ItemsUse {使用}
land_Look {見る}
land_MapAtlas {地図}
land_OutDoor {開く}
land_PlaceItem {置く}
land_Rest {休憩}
land_SelfRepair {修理}
land_TakeItem {取る}
land_TalkSelf {独り言}
land_UseBox {開く}
sea_Ability {アビリティ}
sea_Abordage {拿捕}
sea_Attack {攻撃}
sea_Board {白兵戦}
sea_Boat {ボートを出す}
sea_Bomb {機雷を発射}
sea_Brander {火船}
sea_Cabin {船室}
sea_Cancel {キャンセル}
sea_CCommand {命令}
sea_Charge {リロード}
sea_Defend {防御}
sea_HeaveToDrift {帆を降ろせ}
sea_ImmediateDeath {破壊せよ！}
sea_ImmediateReload {リロード}
sea_InstantBoarding {即時白兵戦}
sea_InstantRepair {戦闘修理}
sea_LandTroops {上陸部隊}
sea_LightRepair {緊急修理}
sea_Map {地図}
sea_Moor {停泊}
sea_Reload {取引}
sea_Repair {修理}
sea_SailAway {出航}
sea_SailDir {..へ航海}
sea_SailE {東}
sea_SailN {北}
sea_SailNE {北東}
sea_SailNW {北西}
sea_SailS {南}
sea_SailSE {南東}
sea_SailSW {南西}
sea_SailTo {航行}
sea_SailW {西}
sea_SandbankManeuver {浅瀬での機動}
sea_Sneak {町に忍び込む}
sea_Speak {会話}
sea_Speed {帆}
sea_Turn180 {反転}
worldmap_toattack {戦闘に参加}
worldmap_toenemy {戦闘}
worldmap_toisland {出航}
worldmap_tosea {出航}
worldmap_toship {攻撃}
worldmap_tostorm {嵐}
