AffairOfHonor_tavern {絶望的な酔っ払い}
armourer_merchant {銃工}
banditos {殺し屋}
captain {船長}
captain_trader {自由商人}
cemeteryman_merchant {墓守}
chaplain {チャプレン}
comandante {司令官}
deadman {生ける死者}
Deputy Director {副所長}
Director {ディレクター}
drinker_0 {この海域で最も名高い海賊}
drinker_1 {真実の物語を語る名手}
drinker_2 {エスコリアル特務員（退役）}
drinker_3 {非常に博識な話し相手}
drinker_4 {何でもこなす熟練者}
drinker_5 {陽気で恐れ知らず、誠実な者}
drinker_6 {壮麗なる男盛り}
drinker_7 {雑用係の頭}
drinker_8 {酔いどれ見張りの長}
drinker_9 {DWICのそれなりに偉い人物の又従兄弟}
duelist {剣豪}
enemy {敵}
fgirl {愛人}
friend {友人}
Ghovernor {総督}
gipsy {ジプシー女}
HeadSailor {熟練水兵}
HeadSailorPlus {乗組員の声}
hostess {女主人}
hovernon_wife {総督の妻}
hovernor {総督}
indian_merchant {占い師}
kukulkan {Kukulkan}
legend {伝説}
lightman_merchant {灯台守}
marginal_town {海賊}
mercen {傭兵}
monk {修道士}
monk_merchant {聖遺物商人}
monster {アンデッド}
mtraxx_vanguard {ティラックスの先鋒}
Naval Registry Guard {登記所警備}
noble {貴族}
patrol {巡回}
Phovernor {男爵}
pofficer {候補者}
poorman {乞食}
portman {港長}
potion_merchant {錬金術師}
priest {司祭}
prisonboss {司令官}
sailor {水夫}
shipyarder {造船職人}
smuggler {密輸業者}
soldier_town {衛兵}
tavernkeeper {宿屋主人}
trader {商人}
usurer {高利貸し}
veteran_merchant {鉄製品商}
waitress {ウェイトレス}
whore {女給}
wife {妻}
